trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,Trial.started,text_fixation_cross.started,key_resp.started,text_fixation_cross.stopped,text_stim.started,key_resp.stopped,text_stim.stopped,Trial.stopped,textStim,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thanks.started,text_thank.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,0,9,0,33.07604490000085,,,,,,,,33.06174540000029,33.07604490000085,33.07604490000085,33.57620329999918,33.57620329999918,35.57539550000001,35.57539550000001,35.559389300000475,MESA,space,1,0.8674422000003688,0.10803080000005139,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
10,0,10,0,35.57539550000001,,,,,,,,35.561795300000085,35.57539550000001,35.57539550000001,36.07517870000083,36.07517870000083,38.07426719999967,38.07426719999967,38.05792560000009,MESA,space,1,0.930914099999427,0.1030391000003874,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
11,0,11,0,38.07426719999967,,,,,,,,38.05859050000072,38.07426719999967,38.07426719999967,38.574453999999605,38.574453999999605,40.57349550000072,40.57349550000072,40.557405100000324,MESA,space,1,0.9850749999986874,0.11251980000088224,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
12,0,12,0,40.57349550000072,,,,,,,,40.55919929999982,40.57349550000072,40.57349550000072,41.07363079999959,41.07363079999959,,,43.07253490000039,MESA,space,1,0.8792629999989003,0.08498590000090189,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
13,0,13,0,43.088967100000445,,,,,,,,43.073127899999236,43.088967100000445,43.088967100000445,43.5894344999997,43.572790300000634,,45.57179929999984,45.57207489999928,MESA,space,1,0.8425661000001128,0.10017610000068089,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
14,0,14,0,45.58846839999933,,,,,,,,45.573974999999336,45.58846839999933,45.58846839999933,46.0884158000008,46.07179600000018,,48.07059610000033,48.08757590000096,MASA,space,0,0.7528204999998707,0.07681910000064818,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
15,0,15,0,48.10402620000059,,,,,,,,48.088224700000865,48.10402620000059,48.10402620000059,48.60384709999926,48.570571300000665,,50.57031420000021,50.58727589999944,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
16,0,16,0,50.60364710000067,,,,,,,,50.58917450000081,50.60364710000067,50.60364710000067,51.10299870000017,51.086423299999296,,53.085881099999824,53.08615429999918,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
17,0,17,0,53.10239089999959,,,,,,,,53.08751420000044,53.10239089999959,53.10239089999959,53.60270330000094,53.58610509999926,,,55.58544939999956,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
18,0,18,0,55.60194170000068,,,,,,,,55.586658199999874,55.60194170000068,55.60194170000068,56.10147479999978,56.084872299999915,,58.08425069999976,58.08455839999988,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
19,0,19,0,58.100981199999296,,,,,,,,58.08610729999964,58.100981199999296,58.100981199999296,58.60073360000024,58.58399780000036,,60.58318019999933,60.583334099999774,MASA,None,1,,,,,,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,60.58370389999982,60.60006179999982,63.582323700000416,634466,001,2025-11-20_01h40.55.105,ling_auditory_oddball,2024.1.0,None,2025-11-20 01h40.58.919704 -0500,
